Name,Vorname / weitere Namen (optional),Twitter-Account,Organisation,URL,URL_Sprache,Category,Subcategory,Ort,Total verbreitete Auflage 2013,Auf inhaltliche und technische Sinnhaftigkeit überprüft im August 2015,Notizen,Letzte Aktualisierung am 18.07.2016
Medienkritisch,,@medien_kritisch,,http://www.medienkritisch.ch/,DE,Fachöffentlichkeit online,(Medienwatch-)Blog,,,ja,nicht regelmässig aktueller Inhalt,
Medienmonitor,,---,,www.medienmonitor.ch,DE,Fachöffentlichkeit online,Digitales Medienmagazin / Fachmagazin,,,ja,Spezialangebot der Medienwoche,
Medienspiegel,,---,,http://www.medienspiegel.ch/,DE,Fachöffentlichkeit online,Blog,,,ja,"Nur Rubrik ""Mediensatz"" zurzeit mit aktuellen Mitteilungen. Rest der Homepage zurzeit nicht regelmässig geführt",
Medienspiegel,,,,http://www.medienspiegel.ch/,DE,Fachöffentlichkeit online,Blog,,,ja,,
MedienVielfaltHolding AG,,---,,---,---,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,keine eigene Homepage,
Medienwoche,,@Medienwoche,,www.medienwoche.ch,DE,Fachöffentlichkeit online,Digitales Medienmagazin/Fachmagazin,,,ja,,
Meier & Cie AG Schaffhausen,,---,,---,---,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,keine eigene Homepage,
Mengis Medien AG,,---,,---,---,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,keine eigene Homepage,
NZZ-Gruppe,,---,,http://www.nzzmediengruppe.ch/,DE,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,News auf der Startseite,
Ombudsstelle der Privaten Radio und TV-Veranstalter in der Deutschschweiz und rätoromanischen Schweiz,Ombudstelle,---,,www.ombudsstelle-rtv.ch/,DE,Fachöffentlichkeit online,Medienethische Instanz / Aufsichtsbehörde,,,ja,Dr. Guglielmo Bruni / Dr. Oliver Sidler (Stv.). Meist stehen nur Jahresberichte im PDF-Format zur Verfügung.,
Ombudsstelle der SRG-Deutschschweiz,Ombudstelle,@srg_d,SRG,https://www.srgd.ch/uber-uns/ombudsstelle/schlussberichte/,DE,Fachöffentlichkeit online,Medienethische Instanz / Aufsichtsbehörde,,,ja,Jahresberichte als PDF verfügbar,
Ombudsstelle Swissinfo,Ombudstelle,@swissinfo_de,SRG,---,DE,Fachöffentlichkeit online,Medienethische Instanz / Aufsichtsbehörde,,,ja,Online nur Kontaktdaten verfügbar.,
Ombudsstelle Tamedia (Deutschschweiz),Ignaz Staub,@Tamedia,Tamedia,---,DE,Fachöffentlichkeit online,Medienethische Instanz / Aufsichtsbehörde,,,ja,Verantwortlich für Deutschschweizer Publikationen. Bei 20 Minuten ist er auch zuständig für die Welschschweizer und die Tessiner Ausgabe. Online nur Kontaktdaten verfügbar.,
O-Ton Mediennews,,---,,o-ton.ch,DE,Fachöffentlichkeit online,Blog,,,ja,"Blog. Mediennews aus CH, D und Ö.",
O-Ton Mediennews,,,,http://www.o-ton.ch/,DE,Fachöffentlichkeit online,Blog,,,ja,,
Overshop Holding SA,,---,,---,---,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,keine eigene Homepage,
Parlamentarische Vorstösse (noch nicht behandelte Geschäfte),Nationalrat / Ständerat,@chparlament,,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista,DE,Fachöffentlichkeit online,Medienpolitische Instanz / Aufsichtsbehörde,,,ja,"Sammlung aller Interpellationen, Motionen, Anfragen, etc. als Text verfügbar. Amtliches Bulleting nur als PDF verfügbar",
Persönlich,,@persoenlichcom,,http://www.persoenlich.com/medien,DE,Fachöffentlichkeit online,Branchenportal mit Branchenmagazin,,,ja,"publiziert eine eigene Print-Publikation ""persönlich""",
Persönlich,,,,http://www.persoenlich.com/blog/,DE,Fachöffentlichkeit online,Branchenportal mit Branchenmagazin,,,ja,Blog,
Presseportal,,@presseportal_ch,,http://www.presseportal.ch/de/t/medien,DE,Fachöffentlichkeit online,Branchenportal,,,ja,,
Presserat,,@PresseratCH,,http://presserat.ch,DE,Fachöffentlichkeit online,Medienethische Instanz / Aufsichtsbehörde,,,ja,Stellungnahmen. Haupt-URL muss bestehen bleiben,
Programmkommission (diverse),,---,SRG,---,---,Fachöffentlichkeit online,Mediumsinterne Kontrollinstanz,,,ja,werden über srgd.ch abgedeckt,
Publica Data,,,,---,DE,Fachöffentlichkeit online,Kommerzielles Marktforschungsinstitut,,,ja,wird über Mediapulse-Homepage abgedeckt. Identische Inhalte.,
Publicitas AG,,@Publicitas_CH,,http://www.publicitas.ch/de/publicitas/news-room,DE,Fachöffentlichkeit online,Werbevermarktungsorganisation,,,ja,,
Publicom,,@Publicom_AG,,http://www.publicom.ch/news-publikationen/,DE,Fachöffentlichkeit online,Kommerzielle Marktforschungsorganisation,,,ja,Programmanalysen für das BAKOM. URL deckt auch News des DELPHInariums ab.,
Publigroupe SA,,@PubliGroupe,,www.publigroupe.com/de,DE,Fachöffentlichkeit online,Marketingsorganisation,,,ja,Seit September 2014 ist Publigroupe Teil der Swisscom-Gruppe. Homepage nicht mehr aktiv. Über die Swisscom-Seite sind derzeit keine Infos einsehbar.,
Publikumsrat SRG Deutschschweiz,,--- ,,https://www.srgd.ch,DE,Fachöffentlichkeit online,Mediumsinterne Kontrollinstanz,,,ja,"Print-Magazin ""Link"" / Newsletter (Inside SRG) kann abonniert werden",
Publikumsrat SRG Deutschschweiz - Magazin LINK,,,,---,DE,Fachöffentlichkeit online,Branchenmagazin,,,ja,ausgewählte Link-Beiträge verfügbar. Werden über srgd.ch gecrawlt,
Publisuisse SA,,@publisuisseSA,,http://www.publisuisse.ch/,DE,Fachöffentlichkeit online,Werbevermarktungsorganisation (SRG-Tochter),,,ja,"Führende Werbevermarktungsorganisation der Schweiz. Wird 2016 abgelöst von Admeira, der Vermarktungsgesellschaft von SRG, Ringier und Swisscom",
Radio Argovia AG,,@RadioArgovia,,---,---,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,keine eigene Homepage. News zu Argovia werden über die Seite des Radio Argovia gefunden.,
Radio Ostschweiz AG,,---,,---,---,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,keine eigene Homepage. News werden über die Seite des Radio FM1 gefunden.,
Radio Pilatus AG,,@radiopilatus,,---,---,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,keine eigene Homepage. News werden über die Seite von Radio Pilatus gefunden.,
Real21,,,,http://www.real21.ch/ueber-uns/mitteilungen/,DE,Fachöffentlichkeit online,Verein (medienkritische Organisation),,,ja,Verein zur Förderung von Berichterstattung über globale Entwicklung. Gegründet im Mai 2015. Jährliches Preisgeld: CHF 40'000. Ab 2016 CHF 54'000. Getragen von Alliance Sud und dem MAZ. Medienfonds und Medienpreis.,
Reporter ohne Grenzen,,,,http://www.rsf-ch.ch/cat%C3%A9gories-de-news/les-infos-s%C3%A9lectionn%C3%A9es-par-rsf-suisse,,Fachöffentlichkeit online,Menschenrechtsorganisation mit Fokus Medienfreiheit bzw. Meinungsfreiheit,,,ja,,
Reporter-Forum Schweiz,,,,---,DE,Fachöffentlichkeit online,Verein zur Förderung von erzählerischem Journalismus. Will an der Entwicklung des Qualitätsjournalismus von morgen mitwirken.,,,ja,"Verein nimmt Stellung zu medienpolitischen Themen (z.B. RTVG-Revisions-Vernehmlassung Herbst 2015, publiziert diese aber nicht auf ihrer Homepage, sondern nur journalistische Beiträge).",
Rettet Basel,,,,"http://www.rettet-basel.ch/pagina.php?0,100,",DE,Fachöffentlichkeit online,Aktion,,,ja,Medienkritische Aktivitäten gegen die BaZ.,
Rheintal Verlag AG,,---,,---,DE,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,"keine News, etc. auf der Homepage vorhanden",
Ringier AG,,@ringier_ag,,http://www.ringier.com/de,DE,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,"keine News, etc. auf der Homepage vorhanden, nur Medienmitteilungen",
Ronnie-Grob-Blog,,,,http://blog.ronniegrob.com/,DE,Fachöffentlichkeit online,Blog,,,ja,,
Schaer Thun AG,,---,,---,DE,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,keine eigene Homepage,
Schär-Stefan-Blog,,,,http://www.stefan-schaer.ch/category/medienkritik/,DE,Fachöffentlichkeit online,Blog / Private Homepage,,,ja,,
Schazo AG,,---,,---,DE,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,keine News vorhanden,
Schule für Angewandte Linguistik,SAL,---,,http://www.sal.ch/blog,DE,Fachöffentlichkeit online,Blog einer Medienausbildungsorganisation,,,ja,Blogbeiträge mit Mediennews,
Schweizer Klub für Wissenschaftsjournalismus,,---,,http://www.science-journalism.ch/index.php/klubnews.html,DE,Fachöffentlichkeit online,Branchenverband,,,ja,"Klubnews in Textform vorhanden, Klub-Bulletin nur via issuu oder als PDF verfügbar",
Schweizer Syndikat Medienschaffender,SSM,@syndicat,,http://www.ssm-site.ch,DE,Fachöffentlichkeit online,Berufsorganisation / Branchengewerkschaft,,,ja,,
Schweizer Journalist,,,,---,DE,Fachöffentlichkeit online,Branchenmagazin / Fachmagazin,,,ja,Die Homepage des Magazins enthält keine (Schweizer) Beiträge. Lediglich das Heft kann abonniert werden und es gibt eine Linksammlung.,
