Name,Additional names,Twitter-Account,Organization,Specific addresses,URL,Language,Category,Subcategory,Country
Appenzeller Zeitung,Appenzeller Zeitung,@AppenzellerZeit ,St.Galler Tagblatt AG,,http://www.appenzellerzeitung.ch/,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
ARC Hebdo,ARC Hebdo,,Les Editions de la Semaine Jurassienne SA,,http://www.archebdo.ch/,FR,Massenmediale Öffentlichkeit,Newsportal,CH
arcinfo.ch,arcinfo.ch,@arcinfo,Société Neuchâteloise de Presse SA,,http://www.arcinfo.ch,FR,Massenmediale Öffentlichkeit,Newsportal,CH
Arolfinger Lokalfernsehen,ALF-TV,@AlfTVch ,ALF TV,,http://www.alf-tv.ch/,DE,Massenmediale Öffentlichkeit,TV-Station,CH
Aroser Zeitung,Aroser Zeitung,,Südostschweiz Presse und Print AG (Somedia),,,DE,Massenmediale Öffentlichkeit,Wochenzeitung,CH
AWP Finanznachrichten,AWP Finanznachrichten,,awp Finanznachrichten AG,,http://www.awp.ch/index.php/de/home.html,DE,Massenmediale Öffentlichkeit,Wirtschaftsnachrichtenagentur,CH
"Azeiger, Amtl. Anzeiger Bezirke Solothurn, Lebern, Bucheggberg, Wasseramt","Azeiger, Amtl. Anzeiger Bezirke Solothurn, Lebern, Bucheggberg, Wasseramt",,AZ Medien AG,,www.azeiger.ch/,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Azione,Azione,,Migros-Genossenschafts-Bund,,www.azione.ch,IT,Massenmediale Öffentlichkeit,Wochenmagazin,CH
Badener Tagblatt,,,AZ Medien AG,,,,Massenmediale Öffentlichkeit,Tageszeitung,
Bantiger Post,Bantiger Post,,Espace Media AG,,http://www.bantigerpost.ch/,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Barfi,barfi.ch,@barfi_news,Barfi AG,,barfi.ch,DE,Massenmediale Öffentlichkeit,"Neues Onlineportal ab 2015. News und Infos. Involviert: Klaus Neumann-Braun, Christian Heeb und Jörg Kachelmann.",
