Name,(Sonstige) Bezeichnung / Abk.,Country,Category,Verifier,URL,URL-Sprache,Verlagshaus,Twitter-Account,Nickname,Organisation,Position,Follower,Tweets,Link
"Buser, Esther",,CH,,Vincenzo,,,,@schwesthi,,,,314,454,https://twitter.com/schwesthi
"Büttner, Jean-Martin",,CH,,Vincenzo,,,,@Jemab,,Tages-Anzeiger,Reporter,598,14,https://twitter.com/Jemab
"C., Degen",,CH,,Vincenzo,,,,@DegenC,,,Journalist,120,38,https://twitter.com/DegenC
"Camenzind, Peter",,CH,,Vincenzo,,,,@CamenzPetr,,,Journalist BR,131,987,https://twitter.com/CamenzPetr
"Caminada, Pieder",,CH,,Vincenzo,,,,@PiederCaminada,,,Journalist,135,7,https://twitter.com/PiederCaminada
"Canonica, Finn",,CH,,Vincenzo,,,,@finncanonica,,DAS MAGAZIN,Chefredaktor ,1'521,741,https://twitter.com/finncanonica
"Capodici, Vincenzo",,CH,,Vincenzo,,,,@V_Capodici,,"Tages-Anzeiger, NewsNet",Reporter,463,460,https://twitter.com/V_Capodici
"Cappellini, David",,CH,,Vincenzo,,,,@DavidCappellini,,,,1'236,2'826,https://twitter.com/DavidCappellini
"Capper, Scott",,CH,,Vincenzo,,,,@swissjourno,,Swissinfo.ch,Multimedia journalist at swissinfo.ch,2'525,19.7 Tsd,https://twitter.com/swissjourno
"Cassidy, Alan",,CH,,Vincenzo,,,,@A_Cassidy,,Schweiz am Sonntag,Journalist,1'924,1'195,https://twitter.com/A_Cassidy
"Cavegn, Lucia Angela",,CH,,Vincenzo,,,,@KunstweiseLucy,,,Schreibe / rede über Kunst: Landbote Thurgauer Zeitung Kunstbulletin NZZ; Museen Oskar Reinhart am Stadtgarten / am Römerholz / Villa Flora; div. Projekte im TG,145,203,https://twitter.com/KunstweiseLucy
"Chapman, Matthias",,CH,,Vincenzo,,,,@matthiaschapman,,TagesAnzeiger,Nachrichtenchef,604,774,https://twitter.com/matthiaschapman
"Chatelain, Claude",,CH,,Vincenzo,,,,@ClaudeChatelai1,Vierte Säule,Berner Zeitung,,754,465,https://twitter.com/ClaudeChatelai1
